,date,name,description_ja,season,episode,show_id,show,show_ja
0,2020-10-24, 1. シーズン１ ,女性タレントたちによる笑わせ合いバトル「女子メンタル」の第1回大会。朝日奈央、ファーストサマーウイカ、ゆきぽよ、峯岸みなみ、松野明美、浜口京子、金田朋子の7人が“バラエティ女王”の座を競いあう！,1,S01E01,joshimental,JOSHIMENTAL,女子メンタル
1,2021-06-19, 1. シーズン２ ,『まっちゃんねる』第1弾でデビューを飾った、女性タレントたちによる笑わせ合いバトル「女子メンタル」の第2回大会。初回大会で健闘を見せた浜口京子、ファーストサマーウイカが再戦に挑むほか、井上咲楽、神田愛花、菊地亜美、鈴木奈々、野呂佳代、丸山桂里奈の6人が初エントリー。個性豊かな8人が一堂に会し、2代目王者の座をめぐって、全員一歩も引かない名勝負の数々を繰り広げる！,2,S02E01,joshimental,JOSHIMENTAL,女子メンタル
