,Unnamed: 0,folder,channel,type,filename,path,subbed,language,name,filetype,hardsub,episode,permalink,name_en,date,segment,name_ja,episode_id,date_id,peertubeid,cct_id,newpath,uploaded,langcheck,in_en,subs_burnt
204,3948,raw,lincoln,episode,Lincoln #205 (2010.08.17) - A way to 100.000.000 yen.mp4,raw/lincoln/episode/Lincoln #205 (2010.08.17) - A way to 100.000.000 yen.mp4,False,ja,Lincoln #205 2010.08.17 - A way to 100.000.000 yen,mp4,False,205,205-1-ja,A way to 100.000.000 yen,2010-08-17,0,,lincoln205_0,lincoln2010-08-17_0,lincoln-205-1-ja,lincoln_20100817_205_0,episode/lincoln_20100817_205_0_ja.mp4,False,lincoln2010-08-17,False,True
205,3949,raw,lincoln,episode,Lincoln #206 (2010.08.24) - Impersonation in a situation challenge.mp4,raw/lincoln/episode/Lincoln #206 (2010.08.24) - Impersonation in a situation challenge.mp4,False,ja,Lincoln #206 2010.08.24 - Impersonation in a situation challenge,mp4,False,206,206-1-ja,Impersonation in a situation challenge,2010-08-24,0,,lincoln206_0,lincoln2010-08-24_0,lincoln-206-1-ja,lincoln_20100824_206_0,episode/lincoln_20100824_206_0_ja.mp4,False,lincoln2010-08-24,False,True
206,3950,raw,lincoln,episode,Lincoln #207 (2010.08.31) - The world of one hundred seconds.mp4,raw/lincoln/episode/Lincoln #207 (2010.08.31) - The world of one hundred seconds.mp4,False,ja,Lincoln #207 2010.08.31 - The world of one hundred seconds,mp4,False,207,207-1-ja,The world of one hundred seconds,2010-08-31,0,,lincoln207_0,lincoln2010-08-31_0,lincoln-207-1-ja,lincoln_20100831_207_0,episode/lincoln_20100831_207_0_ja.mp4,False,lincoln2010-08-31,False,True
207,3951,raw,lincoln,episode,Lincoln #208 (2010.09.07) - A way to 100.000.000 yen.mp4,raw/lincoln/episode/Lincoln #208 (2010.09.07) - A way to 100.000.000 yen.mp4,False,ja,Lincoln #208 2010.09.07 - A way to 100.000.000 yen,mp4,False,208,208-1-ja,A way to 100.000.000 yen,2010-09-07,0,,lincoln208_0,lincoln2010-09-07_0,lincoln-208-1-ja,lincoln_20100907_208_0,episode/lincoln_20100907_208_0_ja.mp4,False,lincoln2010-09-07,False,True
208,3952,raw,lincoln,episode,Lincoln #209 (2010.09.14) - Quiz Do you remember what happened.mp4,raw/lincoln/episode/Lincoln #209 (2010.09.14) - Quiz Do you remember what happened.mp4,False,ja,Lincoln #209 2010.09.14 - Quiz Do you remember what happened,mp4,False,209,209-1-ja,Quiz Do you remember what happened,2010-09-14,0,,lincoln209_0,lincoln2010-09-14_0,lincoln-209-1-ja,lincoln_20100914_209_0,episode/lincoln_20100914_209_0_ja.mp4,False,lincoln2010-09-14,False,True
209,3953,raw,lincoln,episode,Lincoln #210 (2010.10.12) - Summer games.mp4,raw/lincoln/episode/Lincoln #210 (2010.10.12) - Summer games.mp4,False,ja,Lincoln #210 2010.10.12 - Summer games,mp4,False,210,210-1-ja,Summer games,2010-10-12,0,,lincoln210_0,lincoln2010-10-12_0,lincoln-210-1-ja,lincoln_20101012_210_0,episode/lincoln_20101012_210_0_ja.mp4,False,lincoln2010-10-12,False,True
210,4033,raw,lincoln,episode,"Lincoln #211 (2010.10.26) - Ristrante Peace, Goto and Degawa.mp4","raw/lincoln/episode/Lincoln #211 (2010.10.26) - Ristrante Peace, Goto and Degawa.mp4",False,ja,"Lincoln #211 2010.10.26 - Ristrante Peace, Goto and Degawa",mp4,False,211,211-1-ja,"Ristrante Peace, Goto and Degawa",2010-10-26,0,,lincoln211_0,lincoln2010-10-26_0,lincoln-211-1-ja,lincoln_20101026_211_0,episode/lincoln_20101026_211_0_ja.mp4,False,lincoln2010-10-26,False,True
211,3954,raw,lincoln,episode,Lincoln #212 (2010.11.02) - Axe Collaboration 2.mp4,raw/lincoln/episode/Lincoln #212 (2010.11.02) - Axe Collaboration 2.mp4,False,ja,Lincoln #212 2010.11.02 - Axe Collaboration 2,mp4,False,212,212-1-ja,Axe Collaboration 2,2010-11-02,0,,lincoln212_0,lincoln2010-11-02_0,lincoln-212-1-ja,lincoln_20101102_212_0,episode/lincoln_20101102_212_0_ja.mp4,False,lincoln2010-11-02,False,True
212,3955,raw,lincoln,episode,Lincoln #213 (2010.11.09) - Classroom with Lotti.mp4,raw/lincoln/episode/Lincoln #213 (2010.11.09) - Classroom with Lotti.mp4,False,ja,Lincoln #213 2010.11.09 - Classroom with Lotti,mp4,False,213,213-1-ja,Classroom with Lotti,2010-11-09,0,,lincoln213_0,lincoln2010-11-09_0,lincoln-213-1-ja,lincoln_20101109_213_0,episode/lincoln_20101109_213_0_ja.mp4,False,lincoln2010-11-09,False,True
213,3956,raw,lincoln,episode,Lincoln #214 (2010.11.16) - Geinin tower.mp4,raw/lincoln/episode/Lincoln #214 (2010.11.16) - Geinin tower.mp4,False,ja,Lincoln #214 2010.11.16 - Geinin tower,mp4,False,214,214-1-ja,Geinin tower,2010-11-16,0,,lincoln214_0,lincoln2010-11-16_0,lincoln-214-1-ja,lincoln_20101116_214_0,episode/lincoln_20101116_214_0_ja.mp4,False,lincoln2010-11-16,False,True
