show_id,show,show_ja,date,episode,segment,name_ja,metadata,knightscoop_host,knightscoop_detective,knightscoop_location
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-05-07,9,3,消えゆくシリーズ・赤チンはどこへ行った?,"ホスト:中島健仁, 探偵: 田中康江, 位置: ",中島健仁,田中康江,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-05-14,10,1,現代の都会人は老人に親切か?,"ホスト:横山ノック, 探偵: 槍魔栗三助, 位置: ",横山ノック,槍魔栗三助,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-05-14,10,2,青バナ小僧はどこへ行った?,"ホスト:横山ノック, 探偵: 嘉門達夫, 位置: ",横山ノック,嘉門達夫,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-05-14,10,3,探偵会議,"ホスト:横山ノック, 探偵: 全員, 位置: ",横山ノック,全員,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-05-21,11,1,女性の小指の爪はなくなるのか?,"ホスト:中島健仁, 探偵: 越前屋俵太, 位置: ",中島健仁,越前屋俵太,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-05-21,11,2,瀬戸大橋の島の騒音の問題,"ホスト:中島健仁, 探偵: 槍魔栗三助, 位置: ",中島健仁,槍魔栗三助,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-05-21,11,3,精力剤は本当に効くのか?,"ホスト:中島健仁, 探偵: 北野誠, 位置: ",中島健仁,北野誠,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-05-28,12,1,ミニスカートは本当に男性を引きつけるのか?,"ホスト:香川登枝緒, 探偵: 越前屋俵太, 位置: ",香川登枝緒,越前屋俵太,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-05-28,12,2,消えゆくシリーズ・アーム筆入れはどこへ？,"ホスト:香川登枝緒, 探偵: 嘉門達夫, 位置: ",香川登枝緒,嘉門達夫,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-05-28,12,3,ケサランパサランの正体を探る,"ホスト:香川登枝緒, 探偵: 田中康江, 位置: ",香川登枝緒,田中康江,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-06-04,13,1,安い貸家にご用心,"ホスト:中島健仁, 探偵: 嘉門達夫, 位置: ",中島健仁,嘉門達夫,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-06-04,13,2,ハゲ芸能人のマルヒカツラ,"ホスト:中島健仁, 探偵: 北野誠, 位置: ",中島健仁,北野誠,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-06-04,13,3,人間の表と裏,"ホスト:中島健仁, 探偵: 越前屋俵太, 位置: ",中島健仁,越前屋俵太,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-06-18,14,1,宝くじはどうすれば当たるか？,"ホスト:綾辻行人, 探偵: 嘉門達夫, 位置: ",綾辻行人,嘉門達夫,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-06-18,14,2,双生児の運命は同じか？,"ホスト:綾辻行人, 探偵: , 位置: ",綾辻行人,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-06-18,14,3,タバコ屋はなぜ角にあるか？,"ホスト:綾辻行人, 探偵: , 位置: ",綾辻行人,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-06-25,15,1,潜入！香港の夜,"ホスト:桂文珍, 探偵: 北野誠, 位置: ",桂文珍,北野誠,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-06-25,15,2,カバをペットに…？,"ホスト:桂文珍, 探偵: , 位置: ",桂文珍,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-06-25,15,3,日本の油田を求めて,"ホスト:桂文珍, 探偵: , 位置: ",桂文珍,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-07-02,16,1,喫茶店や飲み屋で女客は何を話しているのか？,"ホスト:中島健仁, 探偵: 嘉門達夫, 位置: ",中島健仁,嘉門達夫,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-07-02,16,2,貧乏学生の生活,"ホスト:中島健仁, 探偵: , 位置: ",中島健仁,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-07-02,16,3,暗示システム,"ホスト:中島健仁, 探偵: , 位置: ",中島健仁,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-07-09,17,1,丸文字は現代の文字革命か？,"ホスト:横山ノック, 探偵: 嘉門達夫, 位置: ",横山ノック,嘉門達夫,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-07-09,17,2,満月の夜、何かが起こる？,"ホスト:横山ノック, 探偵: , 位置: ",横山ノック,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-07-09,17,3,おにぎりの正しい形は？,"ホスト:横山ノック, 探偵: , 位置: ",横山ノック,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-07-23,18,1,ポン菓子はどこへ,"ホスト:中島健仁, 探偵: 嘉門+槍魔栗, 位置: ",中島健仁,嘉門+槍魔栗,
