File Name,Extension,File Size (bytes),Duration,Bitrate,Bitrate _b/s,Video Format,Colour Primaries,Frame Width,Frame Height,Framerate,Framerate Dropframe,Framerate Mode,Scan Type,Scan Order,Pixel Aspect Ratio,Bit Depth,Audio Format,Channel(s),Channel Layout,Audio Bitrate,Audio Bitrate _b/s,Sampling Rate,Compression Mode
ダウンタウンのガキの使いやあらへんで!! 2004.12.28 SP 15周年記念スペシャル 笑ってはいけない温泉宿一泊二日の旅in湯河原[x264 720x480],mp4,801092958,01:29:10.548,1197773,1 198 kb/s,AVC,,720,480,29.970,(30000/1001),CFR,Progressive,,0.908,8 bits,AAC,1,C,64192,64.2 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.01.09 第0739回 罰ゲームSP未公開一挙大公開 [XviD1.0.3 720x480 23m59s],avi,187281178,00:23:59.772,1040616,1 041 kb/s,MPEG-4 Visual,,720,480,29.970,(30000/1001),,Progressive,,0.909,8 bits,MPEG Audio,1,,64000,64.0 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.01.16 第0740回 新春初笑い！浜田チームvs松本チームで対決しまっしょい～!!(前編) [XviD1.0.3 720x480 23m56s],avi,275675784,00:23:56.635,1535119,1 535 kb/s,MPEG-4 Visual,,720,480,29.970,(30000/1001),,Progressive,,0.909,8 bits,MPEG Audio,1,,64000,64.0 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.01.30 第0742回 マジック＆占いほろ酔い新年会 [XviD1.0.3 720x480 24m09s],avi,288062060,00:24:09.982,1589328,1 589 kb/s,MPEG-4 Visual,,720,480,29.970,(30000/1001),,Progressive,,0.909,8 bits,MPEG Audio,1,,64000,64.0 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.02.07 第0743回 すし屋でオナラ連発(秘)食事会(2) (インタレ保持) [H.264 640x480 24m10s],mp4,215331483,00:24:10.901,1187298,1 187 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61376,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.02.13 第0744回 遂に復活50歳独身男(秘)お見合い[x264 720x480],mp4,277378398,00:23:58.633,1542455,1 542 kb/s,AVC,,720,480,29.970,(30000/1001),CFR,Progressive,,0.908,8 bits,AAC,1,C,64192,64.2 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.02.20 第0745回 浜田夢中バレーボールで鬼監督 (インタレ保持) [H.264 640x480 24m24s],mp4,336713923,00:24:25.003,1838707,1 839 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61375,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.02.27 第0746回 山崎VSモリマン 魂のスーパーファイナルリベンジマッチ(前編) (インタレ保持) [H.264 640x480 23m56s],mp4,420449438,00:23:56.608,2341345,2 341 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61375,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.03.06 第0747回 山崎VSモリマン 魂のスーパーファイナルリベンジマッチ(後編) (インタレ保持) [H.264 640x480 23m44s],mp4,445653331,00:23:44.576,2502658,2 503 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61375,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.03.13 第0748回 お揃いの(秘)舞台衣装に松本赤面 (インタレ保持) [H.264 640x480 23m55s],mp4,392318798,00:23:55.008,2187131,2 187 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61375,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.03.20 第0749回 衝撃告白遂にアノ男が芸人引退 (インタレ保持) [H.264 640x480 23m38s],mp4,203786591,00:23:38.667,1149172,1 149 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61375,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.03.27 第0750回 遂に公開ダイナマイト四国登場 (インタレ保持) [H.264 640x480 23m49s],mp4,333858979,00:23:49.099,1868920,1 869 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61375,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.04.03 第0751回 松本絶叫衝撃のキスバスツアー (インタレ保持) [H.264 640x480 23m34s],mp4,306807234,00:23:34.229,1735545,1 736 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61375,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.04.10 第0752回 ききシリーズ(17) 舌躍る！？真剣ききマヨネーズ (インタレ保持) [H.264 640x480 24m14s],mp4,319240183,00:24:14.933,1755353,1 755 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61375,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.04.10 第0752回 ききシリーズ(17) 舌躍る！？真剣ききマヨネーズ[x264 720x480],mp4,283963618,00:24:14.953,1561362,1 561 kb/s,AVC,,720,480,29.970,(30000/1001),CFR,Progressive,,0.908,8 bits,AAC,1,C,64192,64.2 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.04.17 第0753回 七変化(20) 若手芸人次長課長が七変化挑戦 (インタレ保持) [H.264 640x480 24m24s],mp4,255489920,00:24:25.003,1395164,1 395 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61376,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.04.24 第0754回 暴走男があの刑事ドラマに変身 (インタレ保持) [H.264 640x480 24m24s],mp4,285606124,00:24:25.003,1559621,1 560 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61375,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.05.01 第0755回 奇跡の(秘)占い師緊急来日SP!! (インタレ保持) [H.264 640x480 23m42s],mp4,221547908,00:23:42.464,1245995,1 246 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61375,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.05.15 第0757回 前代未聞浜田の究極(秘)マジック (インタレ保持) [H.264 640x480 24m17s],mp4,363887840,00:24:17.899,1996779,1 997 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61376,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.05.22 第0758回 遂に公開特撮映画四国vs(秘)怪獣 (インタレ保持) [H.264 640x480 24m24s],mp4,215380904,00:24:25.003,1176139,1 176 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61376,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.05.29 第0759回 特別出演韓流スターと(秘)大喜利 (インタレ保持) [H.264 640x480 24m24s],mp4,262356773,00:24:25.003,1432662,1 433 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61375,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.06.05 第0760回 うまさ絶品!!おいしいモチ料理 (インタレ保持) [H.264 640x480 24m07s],mp4,269949771,00:24:07.317,1492139,1 492 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61376,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.06.05 第0760回 絶対うまいモチ料理 (640x480 DivX5.11),avi,307330350,00:24:10.082,1695520,1 696 kb/s,MPEG-4 Visual,,640,480,29.970,(30000/1001),,Progressive,,1.000,8 bits,MPEG Audio,2,,128000,128 kb/s,44.1 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.06.12 第0761回 あの人気レッサーパンダを見学 (インタレ保持) [H.264 640x480 23m54s],mp4,268915832,00:23:54.411,1499798,1 500 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61376,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.06.19 第0762回 奇跡の男ほっしゃん(秘)芸の限界 (インタレ保持) [H.264 640x480 24m09s],mp4,258529747,00:24:09.984,1426387,1 426 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61376,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.06.26 第0763回 遂に始動罰ゲーム決定電流対決 (インタレ保持) [H.264 640x480 23m46s],mp4,193737299,00:23:46.475,1086523,1 087 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61376,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.07.10 第0765回 板尾襲来持ち込み(秘)クイズ番組 (インタレ保持) [H.264 640x480 24m00s],mp4,261301579,00:24:00.043,1451632,1 452 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61374,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.07.24 第0767回 若手絶望超理不尽(秘)ドッキリ!! (インタレ保持) [H.264 640x480 23m37s],mp4,236642519,00:23:37.728,1335334,1 335 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61375,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.07.24 第0767回 若手絶望超理不尽(秘)ドッキリ!![x264 720x480],mp4,234747548,00:23:37.748,1324622,1 325 kb/s,AVC,,720,480,29.970,(30000/1001),CFR,Progressive,,0.908,8 bits,AAC,1,C,64192,64.2 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.07.31 第0768回 若手号泣松本理不尽ドッキリ!! (インタレ保持) [H.264 640x480 23m52s],mp4,273536285,00:23:52.213,1527908,1 528 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61376,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.08.07 第0769回 衝撃事件続出!!ヘイポー(秘)裁判 (インタレ保持) [H.264 640x480 24m05s],mp4,160030796,00:24:05.461,885701,886 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61375,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.08.14 第0770回 緊急来日奇跡の神業マジシャン (インタレ保持) [H.264 640x480 23m48s],mp4,291656527,00:23:48.843,1632966,1 633 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61376,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.09.04 第0772回 浜田熱唱ヘビメタバンド(秘)結成 (インタレ保持) [H.264 640x480 23m39s],mp4,261209375,00:23:39.968,1471635,1 472 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61375,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.09.25 第0774回 遂に決着(秘)奇跡で歓喜の大喜利 (インタレ保持) [H.264 640x480 23m30s],mp4,293495142,00:23:30.560,1664560,1 665 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61375,61.4 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2005.10.02 第0775回 遂に決行(秘)罰ゲーム衝撃の全容 (インタレ保持) [H.264 640x480 24m24s],mp4,234637456,00:24:24.917,1281369,1 281 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,61376,61.4 kb/s,48.0 kHz,Lossy
